index	STRING_id
0	3702.A0A0A7EPL0
1	3702.A0A178U7J2
2	3702.A0A178UIE7
3	3702.A0A178ULY3
4	3702.A0A178UQA6
5	3702.A0A178US29
6	3702.A0A178UWL0
7	3702.A0A178UXH8
8	3702.A0A178UYZ3
9	3702.A0A178UZR1
10	3702.A0A178V119
11	3702.A0A178V266
12	3702.A0A178V490
13	3702.A0A178V7N9
14	3702.A0A178V9P2
15	3702.A0A178VBH8
16	3702.A0A178VBJ0
17	3702.A0A178VEK7
18	3702.A0A178VGJ3
19	3702.A0A178VGS0
20	3702.A0A178VPF6
21	3702.A0A178VY62
22	3702.A0A178VZV5
23	3702.A0A178W0K0
24	3702.A0A178W169
25	3702.A0A178W3E8
26	3702.A0A178W3G2
27	3702.A0A178W4U6
28	3702.A0A178WDK9
29	3702.A0A178WGK2
30	3702.A0A178WIC4
31	3702.A0A178WLG7
32	3702.A0A1I9LLC5
33	3702.A0A1I9LLJ3
34	3702.A0A1I9LLL5
35	3702.A0A1I9LLM0
36	3702.A0A1I9LLN1
37	3702.A0A1I9LLN7
38	3702.A0A1I9LLP0
39	3702.A0A1I9LLR3
40	3702.A0A1I9LLR6
41	3702.A0A1I9LLS2
42	3702.A0A1I9LM22
43	3702.A0A1I9LM38
44	3702.A0A1I9LM77
45	3702.A0A1I9LM99
46	3702.A0A1I9LMB9
47	3702.A0A1I9LMD5
48	3702.A0A1I9LMM7
49	3702.A0A1I9LMN9
50	3702.A0A1I9LMU3
51	3702.A0A1I9LMV6
52	3702.A0A1I9LMW4
53	3702.A0A1I9LMY1
54	3702.A0A1I9LMZ0
55	3702.A0A1I9LN01
56	3702.A0A1I9LN10
57	3702.A0A1I9LN13
58	3702.A0A1I9LN71
59	3702.A0A1I9LN82
60	3702.A0A1I9LNH2
61	3702.A0A1I9LNK8
62	3702.A0A1I9LNX5
63	3702.A0A1I9LNY2
64	3702.A0A1I9LNY7
65	3702.A0A1I9LP11
66	3702.A0A1I9LP30
67	3702.A0A1I9LP47
68	3702.A0A1I9LP52
69	3702.A0A1I9LP65
70	3702.A0A1I9LPC5
71	3702.A0A1I9LPE3
72	3702.A0A1I9LPS6
73	3702.A0A1I9LPU6
74	3702.A0A1I9LPW2
75	3702.A0A1I9LPW5
76	3702.A0A1I9LPZ1
77	3702.A0A1I9LQ20
78	3702.A0A1I9LQ21
79	3702.A0A1I9LQ26
80	3702.A0A1I9LQ51
81	3702.A0A1I9LQ53
82	3702.A0A1I9LQ55
83	3702.A0A1I9LQ65
84	3702.A0A1I9LQ94
85	3702.A0A1I9LQC2
86	3702.A0A1I9LQF0
87	3702.A0A1I9LQF4
88	3702.A0A1I9LQG9
89	3702.A0A1I9LQI3
90	3702.A0A1I9LQJ5
91	3702.A0A1I9LQN4
92	3702.A0A1I9LQX3
93	3702.A0A1I9LQX6
94	3702.A0A1I9LQY7
95	3702.A0A1I9LR11
96	3702.A0A1I9LR23
97	3702.A0A1I9LR82
98	3702.A0A1I9LRC2
99	3702.A0A1I9LRJ3
100	3702.A0A1I9LRM4
101	3702.A0A1I9LRT3
102	3702.A0A1I9LRU1
103	3702.A0A1I9LS57
104	3702.A0A1I9LS65
105	3702.A0A1I9LS70
106	3702.A0A1I9LS88
107	3702.A0A1I9LSA3
108	3702.A0A1I9LSA7
109	3702.A0A1I9LSC0
110	3702.A0A1I9LSE2
111	3702.A0A1I9LSN7
112	3702.A0A1I9LSP3
113	3702.A0A1I9LSY4
114	3702.A0A1I9LSZ8
115	3702.A0A1I9LT08
116	3702.A0A1I9LT28
117	3702.A0A1I9LT45
118	3702.A0A1I9LT82
119	3702.A0A1I9LT92
120	3702.A0A1I9LT96
121	3702.A0A1I9LT98
122	3702.A0A1I9LTC7
123	3702.A0A1I9LTD7
124	3702.A0A1I9LTP0
125	3702.A0A1I9LTP1
126	3702.A0A1I9LTS6
127	3702.A0A1I9LTU6
128	3702.A0A1I9LTW1
129	3702.A0A1P8AM23
130	3702.A0A1P8AM37
131	3702.A0A1P8AM70
132	3702.A0A1P8AME8
133	3702.A0A1P8AMK1
134	3702.A0A1P8AML6
135	3702.A0A1P8AMQ1
136	3702.A0A1P8AMV0
137	3702.A0A1P8AMW4
138	3702.A0A1P8ANB3
139	3702.A0A1P8ANB5
140	3702.A0A1P8ANP5
141	3702.A0A1P8ANQ6
142	3702.A0A1P8ANT6
143	3702.A0A1P8AP59
144	3702.A0A1P8AP72
145	3702.A0A1P8AP81
146	3702.A0A1P8AP94
147	3702.A0A1P8AP99
148	3702.A0A1P8APA8
149	3702.A0A1P8APD7
150	3702.A0A1P8APF4
151	3702.A0A1P8APH9
152	3702.A0A1P8API0
153	3702.A0A1P8APK6
154	3702.A0A1P8APP1
155	3702.A0A1P8APQ0
156	3702.A0A1P8APV0
157	3702.A0A1P8APV4
158	3702.A0A1P8APV7
159	3702.A0A1P8APX1
160	3702.A0A1P8APZ3
161	3702.A0A1P8AQ63
162	3702.A0A1P8AQ67
163	3702.A0A1P8AQ86
164	3702.A0A1P8AQ88
165	3702.A0A1P8AQE4
166	3702.A0A1P8AQG9
167	3702.A0A1P8AQJ5
168	3702.A0A1P8AQT5
169	3702.A0A1P8AQU0
170	3702.A0A1P8AQV9
171	3702.A0A1P8AR38
172	3702.A0A1P8ARD0
173	3702.A0A1P8ARH0
