index	STRING_id
0	6239.2L52.1a.1
1	6239.3R5.1a.1
2	6239.4R79.1a.1
3	6239.4R79.2a.1
4	6239.AC3.10.1
5	6239.AC3.2.1
6	6239.AC3.3.1
7	6239.AC3.4.1
8	6239.AC3.5a.2
9	6239.AC3.7.1
10	6239.AC7.1a.1
11	6239.AC7.2c.1
12	6239.AH10.1.1
13	6239.AH10.4.1
14	6239.AH6.2.1
15	6239.AH6.4.1
16	6239.AH6.5.1
17	6239.AH6.7.1
18	6239.AH9.2.1
19	6239.AH9.3.1
20	6239.AH9.4.1
21	6239.AH9.6.1
22	6239.B0001.1a.1
23	6239.B0001.2.1
24	6239.B0001.4a.1
25	6239.B0001.6.2
26	6239.B0001.7b.1
27	6239.B0001.8b.1
28	6239.B0019.1.1
29	6239.B0019.2.1
30	6239.B0024.1.1
31	6239.B0024.10.1
32	6239.B0024.11.1
33	6239.B0024.12.1
34	6239.B0024.14b.1
35	6239.B0024.2.1
36	6239.B0024.8a.1
37	6239.B0024.9a.2
38	6239.B0025.1a.1
39	6239.B0025.2.1
40	6239.B0025.4.1
41	6239.B0034.1.1
42	6239.B0034.3a.1
43	6239.B0034.4.1
44	6239.B0035.10.1
45	6239.B0035.11.1
46	6239.B0035.12.2
47	6239.B0035.14a.2
48	6239.B0035.15.1
49	6239.B0035.16.1
50	6239.B0035.1b.1
51	6239.B0035.2.1
52	6239.B0035.3.1
53	6239.B0035.4.2
54	6239.B0035.5.1
55	6239.B0035.6.1
56	6239.B0035.7.1
57	6239.B0035.8.1
58	6239.B0035.9.1
59	6239.B0041.1.1
60	6239.B0041.2d.1
61	6239.B0041.3.1
62	6239.B0041.4.1
63	6239.B0041.6a.1
64	6239.B0041.7.2
65	6239.B0041.8.1
66	6239.B0198.1.1
67	6239.B0198.3a.1
68	6239.B0205.11.1
69	6239.B0205.3.2
70	6239.B0205.4.1
71	6239.B0205.6.1
72	6239.B0205.7.1
73	6239.B0205.8.2
74	6239.B0205.9.1
75	6239.B0207.3b.1
76	6239.B0207.4.1
77	6239.B0207.6.1
78	6239.B0212.2.1
79	6239.B0212.5.1
80	6239.B0213.11a.1
81	6239.B0213.12.1
82	6239.B0213.15b.1
83	6239.B0213.16.1
84	6239.B0213.2.1
85	6239.B0213.4.1
86	6239.B0213.7.1
87	6239.B0213.8.1
88	6239.B0218.1.4
89	6239.B0218.2.1
90	6239.B0218.3.1
91	6239.B0218.6a.1
92	6239.B0218.7.1
93	6239.B0218.8.1
94	6239.B0222.11.1
95	6239.B0222.2.1
96	6239.B0222.4.1
97	6239.B0222.5.1
98	6239.B0222.6.1
99	6239.B0222.7.1
100	6239.B0222.8.1
101	6239.B0222.9.1
102	6239.B0228.1.1
103	6239.B0228.4c.1
104	6239.B0228.5a.1
105	6239.B0228.6.1
106	6239.B0228.7.3
107	6239.B0228.8.1
108	6239.B0228.9.1
109	6239.B0238.1.1
110	6239.B0238.10.2
111	6239.B0238.11.1
112	6239.B0238.7.1
113	6239.B0240.1.1
114	6239.B0240.2.1
115	6239.B0240.3a.1
116	6239.B0240.4.1
117	6239.B0244.10a.1
118	6239.B0244.15.1
119	6239.B0244.2.1
120	6239.B0244.8.1
121	6239.B0244.9.1
122	6239.B0250.1.1
123	6239.B0250.5.1
124	6239.B0250.7b.1
125	6239.B0250.9.2
126	6239.B0252.1.1
127	6239.B0252.2.2
128	6239.B0252.3b.1
129	6239.B0252.4b.1
130	6239.B0261.1.1
131	6239.B0261.2a.1
132	6239.B0261.4a.1
133	6239.B0261.7.1
134	6239.B0261.8.1
135	6239.B0272.1.1
136	6239.B0272.2.1
137	6239.B0272.3.1
138	6239.B0272.4.1
139	6239.B0273.2.2
140	6239.B0273.3.1
141	6239.B0273.4c.1
142	6239.B0280.10a.1
143	6239.B0280.12b.1
144	6239.B0280.13.1
145	6239.B0280.17.1
146	6239.B0280.1a.1
147	6239.B0280.3.1
148	6239.B0280.5.1
149	6239.B0280.8.1
150	6239.B0280.9.1
151	6239.B0281.5a.1
152	6239.B0281.8.1
153	6239.B0284.1.1
154	6239.B0284.2.1
155	6239.B0284.4.1
156	6239.B0285.10.1
157	6239.B0285.1b.1
158	6239.B0285.3.1
159	6239.B0285.4.2
160	6239.B0285.5.1
161	6239.B0285.7.1
162	6239.B0285.8.1
163	6239.B0285.9.2
164	6239.B0286.2a.1
165	6239.B0286.3.1
166	6239.B0286.4a.2
167	6239.B0286.5.1
168	6239.B0286.6.1
169	6239.B0294.3.1
170	6239.B0302.1a.1
171	6239.B0302.2.1
172	6239.B0303.11b.2
173	6239.B0303.14.1
174	6239.B0303.15.1
175	6239.B0303.2.1
176	6239.B0303.3.2
177	6239.B0303.4.2
178	6239.B0303.7a.1
179	6239.B0303.9.1
180	6239.B0304.1b.2
181	6239.B0304.4.1
182	6239.B0304.5.1
183	6239.B0310.2a.1
184	6239.B0310.3.1
185	6239.B0310.5a.1
186	6239.B0310.6.1
187	6239.B0331.1.1
188	6239.B0334.1.1
189	6239.B0334.11a.1
190	6239.B0334.15.1
191	6239.B0334.2a.1
192	6239.B0334.4.1
193	6239.B0334.5.1
194	6239.B0334.6.1
195	6239.B0334.8a.1
196	6239.B0336.10.3
197	6239.B0336.11a.1
198	6239.B0336.13.1
199	6239.B0336.1a.1
200	6239.B0336.2.3
201	6239.B0336.3c.1
202	6239.B0336.4a.1
203	6239.B0336.5b.1
204	6239.B0336.6.2
205	6239.B0336.7a.1
206	6239.B0336.8.1
207	6239.B0336.9d.1
208	6239.B0344.2.1
209	6239.B0348.4d.1
210	6239.B0348.5a.1
211	6239.B0348.6b.1
212	6239.B0350.2f.1
213	6239.B0353.1b.1
214	6239.B0361.10.1
215	6239.B0361.2a.1
216	6239.B0361.3.2
217	6239.B0361.5b.1
218	6239.B0361.6.1
