index	STRING_id
0	7227.FBpp0070001
1	7227.FBpp0070005
2	7227.FBpp0070006
3	7227.FBpp0070007
4	7227.FBpp0070025
5	7227.FBpp0070031
6	7227.FBpp0070034
7	7227.FBpp0070035
8	7227.FBpp0070037
9	7227.FBpp0070044
10	7227.FBpp0070045
11	7227.FBpp0070049
12	7227.FBpp0070051
13	7227.FBpp0070054
14	7227.FBpp0070056
15	7227.FBpp0070060
16	7227.FBpp0070064
17	7227.FBpp0070068
18	7227.FBpp0070070
19	7227.FBpp0070071
20	7227.FBpp0070072
21	7227.FBpp0070073
22	7227.FBpp0070074
23	7227.FBpp0070078
24	7227.FBpp0070083
25	7227.FBpp0070087
26	7227.FBpp0070089
27	7227.FBpp0070095
28	7227.FBpp0070101
29	7227.FBpp0070105
30	7227.FBpp0070110
31	7227.FBpp0070111
32	7227.FBpp0070114
33	7227.FBpp0070115
34	7227.FBpp0070116
35	7227.FBpp0070129
36	7227.FBpp0070132
37	7227.FBpp0070137
38	7227.FBpp0070141
39	7227.FBpp0070143
40	7227.FBpp0070144
41	7227.FBpp0070145
42	7227.FBpp0070146
43	7227.FBpp0070153
44	7227.FBpp0070155
45	7227.FBpp0070160
46	7227.FBpp0070162
47	7227.FBpp0070165
48	7227.FBpp0070168
49	7227.FBpp0070170
50	7227.FBpp0070171
51	7227.FBpp0070172
52	7227.FBpp0070175
53	7227.FBpp0070176
54	7227.FBpp0070177
55	7227.FBpp0070179
56	7227.FBpp0070180
57	7227.FBpp0070181
58	7227.FBpp0070182
59	7227.FBpp0070188
60	7227.FBpp0070195
61	7227.FBpp0070198
62	7227.FBpp0070199
63	7227.FBpp0070200
64	7227.FBpp0070202
65	7227.FBpp0070204
66	7227.FBpp0070205
67	7227.FBpp0070209
68	7227.FBpp0070221
69	7227.FBpp0070222
70	7227.FBpp0070224
71	7227.FBpp0070225
72	7227.FBpp0070227
73	7227.FBpp0070228
74	7227.FBpp0070235
75	7227.FBpp0070242
76	7227.FBpp0070245
77	7227.FBpp0070259
78	7227.FBpp0070262
79	7227.FBpp0070273
80	7227.FBpp0070276
81	7227.FBpp0070277
82	7227.FBpp0070280
83	7227.FBpp0070283
84	7227.FBpp0070285
85	7227.FBpp0070288
86	7227.FBpp0070295
87	7227.FBpp0070297
88	7227.FBpp0070298
89	7227.FBpp0070299
90	7227.FBpp0070300
91	7227.FBpp0070302
92	7227.FBpp0070304
93	7227.FBpp0070305
94	7227.FBpp0070308
95	7227.FBpp0070314
96	7227.FBpp0070316
97	7227.FBpp0070317
98	7227.FBpp0070324
99	7227.FBpp0070325
100	7227.FBpp0070326
101	7227.FBpp0070331
102	7227.FBpp0070333
103	7227.FBpp0070335
104	7227.FBpp0070340
105	7227.FBpp0070347
106	7227.FBpp0070350
107	7227.FBpp0070351
108	7227.FBpp0070353
109	7227.FBpp0070355
110	7227.FBpp0070359
111	7227.FBpp0070363
112	7227.FBpp0070367
113	7227.FBpp0070368
114	7227.FBpp0070369
115	7227.FBpp0070372
116	7227.FBpp0070373
117	7227.FBpp0070380
118	7227.FBpp0070382
119	7227.FBpp0070383
120	7227.FBpp0070389
121	7227.FBpp0070390
122	7227.FBpp0070398
123	7227.FBpp0070402
124	7227.FBpp0070403
125	7227.FBpp0070409
126	7227.FBpp0070412
127	7227.FBpp0070415
128	7227.FBpp0070416
129	7227.FBpp0070417
130	7227.FBpp0070418
131	7227.FBpp0070423
132	7227.FBpp0070425
133	7227.FBpp0070426
134	7227.FBpp0070430
135	7227.FBpp0070431
136	7227.FBpp0070432
137	7227.FBpp0070444
138	7227.FBpp0070446
139	7227.FBpp0070455
140	7227.FBpp0070457
141	7227.FBpp0070458
142	7227.FBpp0070459
143	7227.FBpp0070462
144	7227.FBpp0070463
145	7227.FBpp0070464
146	7227.FBpp0070465
147	7227.FBpp0070466
148	7227.FBpp0070467
149	7227.FBpp0070468
150	7227.FBpp0070471
151	7227.FBpp0070472
152	7227.FBpp0070475
153	7227.FBpp0070476
154	7227.FBpp0070481
155	7227.FBpp0070482
156	7227.FBpp0070483
157	7227.FBpp0070484
158	7227.FBpp0070499
159	7227.FBpp0070502
160	7227.FBpp0070504
161	7227.FBpp0070511
162	7227.FBpp0070512
163	7227.FBpp0070513
164	7227.FBpp0070515
165	7227.FBpp0070517
166	7227.FBpp0070521
167	7227.FBpp0070525
168	7227.FBpp0070526
169	7227.FBpp0070527
170	7227.FBpp0070529
171	7227.FBpp0070530
172	7227.FBpp0070536
173	7227.FBpp0070538
174	7227.FBpp0070539
175	7227.FBpp0070540
176	7227.FBpp0070542
177	7227.FBpp0070543
178	7227.FBpp0070544
179	7227.FBpp0070550
180	7227.FBpp0070552
181	7227.FBpp0070559
182	7227.FBpp0070561
183	7227.FBpp0070565
184	7227.FBpp0070573
185	7227.FBpp0070574
186	7227.FBpp0070575
187	7227.FBpp0070578
188	7227.FBpp0070584
189	7227.FBpp0070585
190	7227.FBpp0070595
191	7227.FBpp0070596
192	7227.FBpp0070606
193	7227.FBpp0070612
194	7227.FBpp0070613
195	7227.FBpp0070614
196	7227.FBpp0070616
197	7227.FBpp0070620
198	7227.FBpp0070623
199	7227.FBpp0070624
200	7227.FBpp0070627
201	7227.FBpp0070628
202	7227.FBpp0070629
203	7227.FBpp0070636
204	7227.FBpp0070637
205	7227.FBpp0070638
206	7227.FBpp0070644
207	7227.FBpp0070646
208	7227.FBpp0070647
209	7227.FBpp0070649
210	7227.FBpp0070650
211	7227.FBpp0070652
212	7227.FBpp0070654
213	7227.FBpp0070656
214	7227.FBpp0070657
215	7227.FBpp0070660
216	7227.FBpp0070661
217	7227.FBpp0070667
218	7227.FBpp0070670
219	7227.FBpp0070679
220	7227.FBpp0070680
221	7227.FBpp0070684
222	7227.FBpp0070685
223	7227.FBpp0070689
224	7227.FBpp0070695
225	7227.FBpp0070702
226	7227.FBpp0070704
227	7227.FBpp0070709
228	7227.FBpp0070716
229	7227.FBpp0070718
230	7227.FBpp0070719
231	7227.FBpp0070720
232	7227.FBpp0070722
233	7227.FBpp0070723
234	7227.FBpp0070725
235	7227.FBpp0070726
236	7227.FBpp0070729
237	7227.FBpp0070730
238	7227.FBpp0070731
239	7227.FBpp0070742
240	7227.FBpp0070748
241	7227.FBpp0070751
242	7227.FBpp0070761
243	7227.FBpp0070764
244	7227.FBpp0070767
245	7227.FBpp0070768
246	7227.FBpp0070770
247	7227.FBpp0070779
248	7227.FBpp0070780
249	7227.FBpp0070782
250	7227.FBpp0070784
251	7227.FBpp0070786
252	7227.FBpp0070792
253	7227.FBpp0070793
254	7227.FBpp0070794
255	7227.FBpp0070795
256	7227.FBpp0070798
257	7227.FBpp0070801
258	7227.FBpp0070808
259	7227.FBpp0070809
260	7227.FBpp0070812
261	7227.FBpp0070814
262	7227.FBpp0070817
263	7227.FBpp0070827
264	7227.FBpp0070830
265	7227.FBpp0070831
266	7227.FBpp0070832
267	7227.FBpp0070839
268	7227.FBpp0070844
269	7227.FBpp0070849
270	7227.FBpp0070854
271	7227.FBpp0070856
272	7227.FBpp0070857
273	7227.FBpp0070859
274	7227.FBpp0070860
275	7227.FBpp0070861
276	7227.FBpp0070862
277	7227.FBpp0070864
278	7227.FBpp0070870
279	7227.FBpp0070871
280	7227.FBpp0070874
281	7227.FBpp0070875
282	7227.FBpp0070876
