index	STRING_id
0	511145.b0002
1	511145.b0003
2	511145.b0004
3	511145.b0006
4	511145.b0008
5	511145.b0009
6	511145.b0011
7	511145.b0014
8	511145.b0015
9	511145.b0020
10	511145.b0023
11	511145.b0025
12	511145.b0026
13	511145.b0028
14	511145.b0029
15	511145.b0030
16	511145.b0031
17	511145.b0032
18	511145.b0033
19	511145.b0034
20	511145.b0035
21	511145.b0036
22	511145.b0037
23	511145.b0038
24	511145.b0039
25	511145.b0041
26	511145.b0042
27	511145.b0043
28	511145.b0044
29	511145.b0046
30	511145.b0047
31	511145.b0048
32	511145.b0049
33	511145.b0051
34	511145.b0052
35	511145.b0053
36	511145.b0054
37	511145.b0055
38	511145.b0058
39	511145.b0059
40	511145.b0060
41	511145.b0061
42	511145.b0064
43	511145.b0065
44	511145.b0066
45	511145.b0067
46	511145.b0068
47	511145.b0071
48	511145.b0072
49	511145.b0073
50	511145.b0074
51	511145.b0075
52	511145.b0076
53	511145.b0077
54	511145.b0078
55	511145.b0080
56	511145.b0081
57	511145.b0082
58	511145.b0083
59	511145.b0084
60	511145.b0085
61	511145.b0086
62	511145.b0088
63	511145.b0089
64	511145.b0090
65	511145.b0091
66	511145.b0092
67	511145.b0093
68	511145.b0094
69	511145.b0095
70	511145.b0096
71	511145.b0097
72	511145.b0098
73	511145.b0099
74	511145.b0101
75	511145.b0102
76	511145.b0104
77	511145.b0106
78	511145.b0107
79	511145.b0108
80	511145.b0109
81	511145.b0111
82	511145.b0113
83	511145.b0114
84	511145.b0115
85	511145.b0116
86	511145.b0117
87	511145.b0118
88	511145.b0119
89	511145.b0121
90	511145.b0122
91	511145.b0123
92	511145.b0124
93	511145.b0125
94	511145.b0126
95	511145.b0127
96	511145.b0128
97	511145.b0129
98	511145.b0130
99	511145.b0131
100	511145.b0133
101	511145.b0134
102	511145.b0139
103	511145.b0140
104	511145.b0142
105	511145.b0143
106	511145.b0144
107	511145.b0145
108	511145.b0146
109	511145.b0148
110	511145.b0149
111	511145.b0150
112	511145.b0151
113	511145.b0152
114	511145.b0153
115	511145.b0154
116	511145.b0156
117	511145.b0157
118	511145.b0158
119	511145.b0159
120	511145.b0160
121	511145.b0161
122	511145.b0163
123	511145.b0166
124	511145.b0167
125	511145.b0168
126	511145.b0169
127	511145.b0170
128	511145.b0171
129	511145.b0172
130	511145.b0174
131	511145.b0175
132	511145.b0176
133	511145.b0177
134	511145.b0178
135	511145.b0179
136	511145.b0180
137	511145.b0181
138	511145.b0182
139	511145.b0183
140	511145.b0184
141	511145.b0185
142	511145.b0186
143	511145.b0187
144	511145.b0188
145	511145.b0189
146	511145.b0191
147	511145.b0192
148	511145.b0194
149	511145.b0196
150	511145.b0197
151	511145.b0198
152	511145.b0199
153	511145.b0200
154	511145.b0207
155	511145.b0208
156	511145.b0211
157	511145.b0212
158	511145.b0214
159	511145.b0215
160	511145.b0221
161	511145.b0222
162	511145.b0223
163	511145.b0224
164	511145.b0225
165	511145.b0226
166	511145.b0231
167	511145.b0232
168	511145.b0233
169	511145.b0237
170	511145.b0238
171	511145.b0239
172	511145.b0241
173	511145.b0243
174	511145.b0245
175	511145.b0246
176	511145.b0251
177	511145.b0254
178	511145.b0256
179	511145.b0261
180	511145.b0262
181	511145.b0267
182	511145.b0268
183	511145.b0269
184	511145.b0273
185	511145.b0281
186	511145.b0284
187	511145.b0285
188	511145.b0286
189	511145.b0288
190	511145.b0291
191	511145.b0292
192	511145.b0294
193	511145.b0296
194	511145.b0304
195	511145.b0306
196	511145.b0307
197	511145.b0308
198	511145.b0311
199	511145.b0312
200	511145.b0313
201	511145.b0315
202	511145.b0316
203	511145.b0318
204	511145.b0319
205	511145.b0320
206	511145.b0321
207	511145.b0323
208	511145.b0324
209	511145.b0325
210	511145.b0328
211	511145.b0329
212	511145.b0331
213	511145.b0333
214	511145.b0334
215	511145.b0335
216	511145.b0337
217	511145.b0338
218	511145.b0339
219	511145.b0342
220	511145.b0343
221	511145.b0344
222	511145.b0345
223	511145.b0347
224	511145.b0349
225	511145.b0351
226	511145.b0352
227	511145.b0355
228	511145.b0356
229	511145.b0363
230	511145.b0365
231	511145.b0366
232	511145.b0367
233	511145.b0369
234	511145.b0375
235	511145.b0376
236	511145.b0378
237	511145.b0381
238	511145.b0382
239	511145.b0383
240	511145.b0385
241	511145.b0386
242	511145.b0387
243	511145.b0388
244	511145.b0391
245	511145.b0393
246	511145.b0397
247	511145.b0398
248	511145.b0399
249	511145.b0400
250	511145.b0401
251	511145.b0402
252	511145.b0403
253	511145.b0405
254	511145.b0406
255	511145.b0407
256	511145.b0408
257	511145.b0409
258	511145.b0411
259	511145.b0413
260	511145.b0414
261	511145.b0415
262	511145.b0416
263	511145.b0417
264	511145.b0418
265	511145.b0419
266	511145.b0420
