index	STRING_id
0	4932.Q0045
1	4932.Q0050
2	4932.Q0055
3	4932.Q0060
4	4932.Q0065
5	4932.Q0070
6	4932.Q0075
7	4932.Q0080
8	4932.Q0085
9	4932.Q0105
10	4932.Q0110
11	4932.Q0115
12	4932.Q0120
13	4932.Q0130
14	4932.Q0140
15	4932.Q0160
16	4932.Q0250
17	4932.Q0255
18	4932.Q0275
19	4932.YAL001C
20	4932.YAL002W
21	4932.YAL003W
22	4932.YAL004W
23	4932.YAL005C
24	4932.YAL007C
25	4932.YAL008W
26	4932.YAL009W
27	4932.YAL010C
28	4932.YAL011W
29	4932.YAL012W
30	4932.YAL013W
31	4932.YAL014C
32	4932.YAL015C
33	4932.YAL016W
34	4932.YAL017W
35	4932.YAL018C
36	4932.YAL019W
37	4932.YAL019W-A
38	4932.YAL020C
39	4932.YAL021C
40	4932.YAL022C
41	4932.YAL023C
42	4932.YAL024C
43	4932.YAL025C
44	4932.YAL026C
45	4932.YAL027W
46	4932.YAL028W
47	4932.YAL029C
48	4932.YAL030W
49	4932.YAL031C
50	4932.YAL032C
51	4932.YAL033W
52	4932.YAL034C
53	4932.YAL034W-A
54	4932.YAL035W
55	4932.YAL036C
56	4932.YAL038W
57	4932.YAL039C
58	4932.YAL040C
59	4932.YAL041W
60	4932.YAL042W
61	4932.YAL043C
62	4932.YAL044C
63	4932.YAL044W-A
64	4932.YAL045C
65	4932.YAL046C
66	4932.YAL047C
67	4932.YAL048C
68	4932.YAL049C
69	4932.YAL051W
70	4932.YAL053W
71	4932.YAL054C
72	4932.YAL055W
73	4932.YAL056W
74	4932.YAL058W
75	4932.YAL059W
76	4932.YAL060W
77	4932.YAL061W
78	4932.YAL062W
79	4932.YAL063C
80	4932.YAL063C-A
81	4932.YAL064C-A
82	4932.YAL064W
83	4932.YAL064W-B
84	4932.YAL065C
85	4932.YAL067C
86	4932.YAL068C
87	4932.YAL069W
88	4932.YAR002C-A
89	4932.YAR002W
90	4932.YAR003W
91	4932.YAR007C
92	4932.YAR008W
93	4932.YAR014C
94	4932.YAR015W
95	4932.YAR018C
96	4932.YAR019C
97	4932.YAR020C
98	4932.YAR023C
99	4932.YAR027W
100	4932.YAR028W
101	4932.YAR030C
102	4932.YAR031W
103	4932.YAR033W
104	4932.YAR035W
105	4932.YAR042W
106	4932.YAR047C
107	4932.YAR050W
108	4932.YAR064W
109	4932.YAR066W
110	4932.YAR068W
111	4932.YAR069C
112	4932.YAR071W
113	4932.YAR073W
114	4932.YAR075W
115	4932.YBL001C
116	4932.YBL002W
117	4932.YBL003C
118	4932.YBL004W
119	4932.YBL005W
120	4932.YBL006C
121	4932.YBL007C
122	4932.YBL008W
123	4932.YBL008W-A
124	4932.YBL009W
125	4932.YBL010C
126	4932.YBL011W
127	4932.YBL013W
128	4932.YBL014C
129	4932.YBL015W
130	4932.YBL016W
131	4932.YBL017C
132	4932.YBL018C
133	4932.YBL019W
134	4932.YBL020W
135	4932.YBL021C
136	4932.YBL022C
137	4932.YBL023C
138	4932.YBL024W
139	4932.YBL025W
140	4932.YBL026W
141	4932.YBL027W
142	4932.YBL028C
143	4932.YBL029C-A
144	4932.YBL029W
145	4932.YBL030C
146	4932.YBL031W
147	4932.YBL032W
148	4932.YBL033C
149	4932.YBL034C
150	4932.YBL035C
151	4932.YBL036C
152	4932.YBL037W
153	4932.YBL038W
154	4932.YBL039C
155	4932.YBL039W-B
156	4932.YBL040C
157	4932.YBL041W
158	4932.YBL042C
159	4932.YBL043W
