index	STRING_id
0	10090.ENSMUSP00000000001
1	10090.ENSMUSP00000000003
2	10090.ENSMUSP00000000010
3	10090.ENSMUSP00000000028
4	10090.ENSMUSP00000000049
5	10090.ENSMUSP00000000058
6	10090.ENSMUSP00000000080
7	10090.ENSMUSP00000000090
8	10090.ENSMUSP00000000095
9	10090.ENSMUSP00000000122
10	10090.ENSMUSP00000000127
11	10090.ENSMUSP00000000129
12	10090.ENSMUSP00000000137
13	10090.ENSMUSP00000000153
14	10090.ENSMUSP00000000161
15	10090.ENSMUSP00000000171
16	10090.ENSMUSP00000000175
17	10090.ENSMUSP00000000186
18	10090.ENSMUSP00000000187
19	10090.ENSMUSP00000000188
20	10090.ENSMUSP00000000193
21	10090.ENSMUSP00000000194
22	10090.ENSMUSP00000000199
23	10090.ENSMUSP00000000201
24	10090.ENSMUSP00000000206
25	10090.ENSMUSP00000000208
26	10090.ENSMUSP00000000219
27	10090.ENSMUSP00000000221
28	10090.ENSMUSP00000000253
29	10090.ENSMUSP00000000254
30	10090.ENSMUSP00000000260
31	10090.ENSMUSP00000000266
32	10090.ENSMUSP00000000275
33	10090.ENSMUSP00000000287
34	10090.ENSMUSP00000000291
35	10090.ENSMUSP00000000299
36	10090.ENSMUSP00000000304
37	10090.ENSMUSP00000000305
38	10090.ENSMUSP00000000312
39	10090.ENSMUSP00000000314
40	10090.ENSMUSP00000000317
41	10090.ENSMUSP00000000326
42	10090.ENSMUSP00000000329
43	10090.ENSMUSP00000000342
44	10090.ENSMUSP00000000348
45	10090.ENSMUSP00000000349
46	10090.ENSMUSP00000000356
47	10090.ENSMUSP00000000365
48	10090.ENSMUSP00000000369
49	10090.ENSMUSP00000000384
50	10090.ENSMUSP00000000388
51	10090.ENSMUSP00000000395
52	10090.ENSMUSP00000000421
53	10090.ENSMUSP00000000445
54	10090.ENSMUSP00000000449
55	10090.ENSMUSP00000000450
56	10090.ENSMUSP00000000451
57	10090.ENSMUSP00000000466
58	10090.ENSMUSP00000000500
59	10090.ENSMUSP00000000505
60	10090.ENSMUSP00000000542
61	10090.ENSMUSP00000000543
62	10090.ENSMUSP00000000544
63	10090.ENSMUSP00000000573
64	10090.ENSMUSP00000000574
65	10090.ENSMUSP00000000579
66	10090.ENSMUSP00000000590
67	10090.ENSMUSP00000000594
68	10090.ENSMUSP00000000608
69	10090.ENSMUSP00000000619
70	10090.ENSMUSP00000000641
71	10090.ENSMUSP00000000642
72	10090.ENSMUSP00000000696
73	10090.ENSMUSP00000000707
74	10090.ENSMUSP00000000718
75	10090.ENSMUSP00000000724
76	10090.ENSMUSP00000000727
77	10090.ENSMUSP00000000756
78	10090.ENSMUSP00000000759
79	10090.ENSMUSP00000000767
80	10090.ENSMUSP00000000769
81	10090.ENSMUSP00000000776
82	10090.ENSMUSP00000000804
83	10090.ENSMUSP00000000808
84	10090.ENSMUSP00000000811
85	10090.ENSMUSP00000000828
86	10090.ENSMUSP00000000834
87	10090.ENSMUSP00000000889
88	10090.ENSMUSP00000000896
89	10090.ENSMUSP00000000910
90	10090.ENSMUSP00000000924
91	10090.ENSMUSP00000000925
92	10090.ENSMUSP00000000926
93	10090.ENSMUSP00000000939
94	10090.ENSMUSP00000000940
95	10090.ENSMUSP00000000958
96	10090.ENSMUSP00000000964
97	10090.ENSMUSP00000000985
98	10090.ENSMUSP00000001002
99	10090.ENSMUSP00000001008
100	10090.ENSMUSP00000001027
101	10090.ENSMUSP00000001040
102	10090.ENSMUSP00000001042
103	10090.ENSMUSP00000001046
104	10090.ENSMUSP00000001047
105	10090.ENSMUSP00000001051
106	10090.ENSMUSP00000001055
107	10090.ENSMUSP00000001059
108	10090.ENSMUSP00000001079
109	10090.ENSMUSP00000001080
110	10090.ENSMUSP00000001081
111	10090.ENSMUSP00000001092
112	10090.ENSMUSP00000001109
113	10090.ENSMUSP00000001112
114	10090.ENSMUSP00000001115
115	10090.ENSMUSP00000001122
116	10090.ENSMUSP00000001125
117	10090.ENSMUSP00000001126
118	10090.ENSMUSP00000001127
119	10090.ENSMUSP00000001147
120	10090.ENSMUSP00000001148
121	10090.ENSMUSP00000001155
122	10090.ENSMUSP00000001156
123	10090.ENSMUSP00000001166
124	10090.ENSMUSP00000001179
125	10090.ENSMUSP00000001181
126	10090.ENSMUSP00000001183
127	10090.ENSMUSP00000001184
128	10090.ENSMUSP00000001185
129	10090.ENSMUSP00000001186
130	10090.ENSMUSP00000001202
131	10090.ENSMUSP00000001226
132	10090.ENSMUSP00000001240
133	10090.ENSMUSP00000001242
134	10090.ENSMUSP00000001253
135	10090.ENSMUSP00000001254
136	10090.ENSMUSP00000001256
137	10090.ENSMUSP00000001258
138	10090.ENSMUSP00000001279
