index	STRING_id
0	7955.ENSDARP00000000004
1	7955.ENSDARP00000000005
2	7955.ENSDARP00000000042
3	7955.ENSDARP00000000069
4	7955.ENSDARP00000000070
5	7955.ENSDARP00000000160
6	7955.ENSDARP00000000221
7	7955.ENSDARP00000000250
8	7955.ENSDARP00000000280
9	7955.ENSDARP00000000382
10	7955.ENSDARP00000000392
11	7955.ENSDARP00000000488
12	7955.ENSDARP00000000748
13	7955.ENSDARP00000000803
14	7955.ENSDARP00000000854
15	7955.ENSDARP00000000952
16	7955.ENSDARP00000000956
17	7955.ENSDARP00000000979
18	7955.ENSDARP00000000985
19	7955.ENSDARP00000001039
20	7955.ENSDARP00000001137
21	7955.ENSDARP00000001151
22	7955.ENSDARP00000001156
23	7955.ENSDARP00000001158
24	7955.ENSDARP00000001187
25	7955.ENSDARP00000001220
26	7955.ENSDARP00000001240
27	7955.ENSDARP00000001250
28	7955.ENSDARP00000001256
29	7955.ENSDARP00000001281
30	7955.ENSDARP00000001288
31	7955.ENSDARP00000001291
32	7955.ENSDARP00000001315
33	7955.ENSDARP00000001346
34	7955.ENSDARP00000001363
35	7955.ENSDARP00000001399
36	7955.ENSDARP00000001459
37	7955.ENSDARP00000001565
38	7955.ENSDARP00000001793
39	7955.ENSDARP00000001845
40	7955.ENSDARP00000001911
41	7955.ENSDARP00000001943
42	7955.ENSDARP00000001953
43	7955.ENSDARP00000002005
44	7955.ENSDARP00000002041
45	7955.ENSDARP00000002061
46	7955.ENSDARP00000002079
47	7955.ENSDARP00000002107
48	7955.ENSDARP00000002108
49	7955.ENSDARP00000002111
50	7955.ENSDARP00000002120
51	7955.ENSDARP00000002122
52	7955.ENSDARP00000002154
53	7955.ENSDARP00000002175
54	7955.ENSDARP00000002180
55	7955.ENSDARP00000002195
56	7955.ENSDARP00000002199
57	7955.ENSDARP00000002223
58	7955.ENSDARP00000002225
59	7955.ENSDARP00000002234
60	7955.ENSDARP00000002260
61	7955.ENSDARP00000002263
62	7955.ENSDARP00000002264
63	7955.ENSDARP00000002269
64	7955.ENSDARP00000002330
65	7955.ENSDARP00000002331
66	7955.ENSDARP00000002357
67	7955.ENSDARP00000002360
68	7955.ENSDARP00000002367
69	7955.ENSDARP00000002420
70	7955.ENSDARP00000002435
71	7955.ENSDARP00000002437
72	7955.ENSDARP00000002450
73	7955.ENSDARP00000002453
74	7955.ENSDARP00000002460
75	7955.ENSDARP00000002466
76	7955.ENSDARP00000002468
77	7955.ENSDARP00000002470
78	7955.ENSDARP00000002476
79	7955.ENSDARP00000002502
80	7955.ENSDARP00000002507
81	7955.ENSDARP00000002531
82	7955.ENSDARP00000002532
83	7955.ENSDARP00000002535
84	7955.ENSDARP00000002544
85	7955.ENSDARP00000002547
86	7955.ENSDARP00000002576
87	7955.ENSDARP00000002605
88	7955.ENSDARP00000002609
89	7955.ENSDARP00000002618
90	7955.ENSDARP00000002650
91	7955.ENSDARP00000002686
92	7955.ENSDARP00000002692
93	7955.ENSDARP00000002697
94	7955.ENSDARP00000002714
95	7955.ENSDARP00000002722
96	7955.ENSDARP00000002745
97	7955.ENSDARP00000002746
98	7955.ENSDARP00000002747
99	7955.ENSDARP00000002761
100	7955.ENSDARP00000002773
101	7955.ENSDARP00000002775
102	7955.ENSDARP00000002787
103	7955.ENSDARP00000002797
104	7955.ENSDARP00000002813
105	7955.ENSDARP00000002818
106	7955.ENSDARP00000002825
107	7955.ENSDARP00000002837
108	7955.ENSDARP00000002844
109	7955.ENSDARP00000002848
110	7955.ENSDARP00000002857
111	7955.ENSDARP00000002874
112	7955.ENSDARP00000002886
113	7955.ENSDARP00000002926
114	7955.ENSDARP00000002932
115	7955.ENSDARP00000002935
116	7955.ENSDARP00000002941
117	7955.ENSDARP00000002944
